[ 2025-10-01 16:07:33,663 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-10-01 16:07:34,058 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-10-01 16:07:34,448 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-10-01 16:07:34,452 ] 107 dagshub - INFO - Accessing as AZAD227
[ 2025-10-01 16:07:34,914 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/AZAD227/Network-Security "HTTP/1.1 200 OK"
[ 2025-10-01 16:07:35,265 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-10-01 16:07:35,267 ] 107 dagshub - INFO - Initialized MLflow to track repo "AZAD227/Network-Security"
[ 2025-10-01 16:07:35,268 ] 107 dagshub - INFO - Repository AZAD227/Network-Security initialized!
[ 2025-10-01 16:07:35,269 ] 18 root - INFO - Initiate the data ingestion
[ 2025-10-01 16:07:38,711 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-01 16:07:38,712 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-01 16:07:38,712 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-01 16:07:38,793 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-01 16:07:38,793 ] 20 root - INFO - Data Initiation Completed
[ 2025-10-01 16:07:38,805 ] 24 root - INFO - Initiate the data Validation
[ 2025-10-01 16:07:38,955 ] 34 root - INFO - Required number of columns:2
[ 2025-10-01 16:07:38,955 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-01 16:07:38,955 ] 34 root - INFO - Required number of columns:2
[ 2025-10-01 16:07:38,955 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-01 16:07:39,223 ] 26 root - INFO - data Validation Completed
[ 2025-10-01 16:07:39,224 ] 29 root - INFO - data transformation started
[ 2025-10-01 16:07:39,224 ] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-01 16:07:39,224 ] 54 root - INFO - Starting data transformation
[ 2025-10-01 16:07:39,286 ] 42 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-10-01 16:07:39,286 ] 45 root - INFO - Intializing KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-01 16:07:39,310 ] 46 root - INFO - Entered the save object method of Main Utils class
[ 2025-10-01 16:07:39,315 ] 50 root - INFO - Exited the save object method of Main Utils class
[ 2025-10-01 16:07:39,315 ] 46 root - INFO - Entered the save object method of Main Utils class
[ 2025-10-01 16:07:39,319 ] 50 root - INFO - Exited the save object method of Main Utils class
[ 2025-10-01 16:07:39,320 ] 33 root - INFO - data transformation completed
[ 2025-10-01 16:07:39,320 ] 35 root - INFO - Model Training started
